Filename, Title (from PDF XMP metadata)
163102e, Intergovernmental Council of the IPDC; 26th; Media development indicators: a framework for assessing media development; 2010
186364e," Climate change and Arctic sustainable development: scientific, social, cultural and educational challenges; 2009"
186732e, Protecting Education from Attack; Protecting education from attack: a state-of-the-art review; 2010
186809e," Education under attack, 2010: a global study on targeted political and military violence against education staff, students, teachers, union and government officials, aid workers and institutions; 2010"
187026e, Atlas of the world's languages in danger; Memory of peoples; 2010
187044e, World Heritage cultural landscapes: a handbook for conservation and management; World heritage series: papers; Vol.:26; 2015
187309s, Etica ambiental y politicas internacionales; Etica; 2010
187513f," Atteindre les marginalises: rapport mondial de suivi sur l'EPT, 2010; 2010"
187818e, Caring and learning together: a cross-national study on the integration of early childhood care and education within education; 2010
187827f, Investir dans la diversite culturelle et le dialogue interculturel: rapport mondial de l'UNESCO; Ouvrages de reference de l'UNESCO; 2010
187865s," Llegar a los marginados: informe de seguimiento de la EPT en el mundo, 2010; 2010"
187899e, Report of the International Bioethics Committee of UNESCO (IBC) on social responsibility and health; 2010
188481e, Study on challenges in the development of local equality indicators: a human-rights-centred model; Commitment 2 of the Ten-Point Plan of Action; International coalition of cities against racism: discussion papers series; Vol.:5; 2010
188562e, Managing disaster risks for world heritage; World heritage resource manual; 2010
189418e, Sandwatch: adapting to climate change and educating for sustainable development; 2010
189451f, Atlas des langues en danger dans le monde; Memoire des peuples; 2010
189548e, National bioethics committees in action; 2010
189607m, Managing historic cities; World heritage series: papers; Vol.:27; 2010
189753e," Engineering: issues, challenges and opportunities for development; UNESCO report; 2012"
189958e," UNESCO science report, 2010: the current status of science around the world; 2010"
190054f, Rapport du Comite international de bioetique de l'UNESCO (CIB) sur la responsabilite sociale et la sante; 2010
190743e," The Hidden crisis: armed conflict and education; EFA global monitoring report, 2011; 2011"
190796e, Migrating alone: unaccompanied and separated children's migration to Europe; 2010
190810e," Professional journalism and self-regulation: new media, old dilemmas in South East Europe and Turkey; 2011"
190899e, Interregional Expert Meeting on Cultural Diversity in Small Island Developing States; Islands as crossroads: sustaining cultural diversity in small island developing states; 2011
191594e," Freedom of connection, freedom of expression: the changing legal and regulatory ecology shaping the Internet; 2013"
191745e, Arab-Muslim civilization in the mirror of the universal: philosophical perspectives; 2010
191797f," Savoirs des femmes: medecine traditionnelle et nature; Maurice, Reunion, Rodrigues; Savoirs locaux et autochtones; Vol.:1; 2011"
191873e, A Teaching resource kit for mountain countries: a creative approach to environmental education; 2010
192183e," National journeys towards education for sustainable development, 2011: reviewing national experiences from Chile, Indonesia, Kenya, the Netherlands, Oman; 2011"
192370e, Casebook on benefit and harm; Bioethics core curriculum casebook series; Vol.:2; 2011
192371e, Casebook on human dignity and human rights; Bioethics core curriculum casebook series; Vol.:1; 2011
192455f," Les medias, partenaires de l'education au developpement durable: kit de formation et de reference; Serie UNESCO sur la formation au journalisme; 2010"
192458e, Preparing World Heritage nominations; World heritage resource manual; 2010
192459e, Public service broadcasting: a comparative legal survey; 2011
192460f, Etablir une proposition d'inscription au patrimoine mondial; Patrimoine mondial: manuel de reference; 2010
192858e," Return[ed] to paradise: the deportation experience in Samoa & Tonga; MOST policy papers, new series MOST-2; Vol.:21; 2011"
192971e, Media and information literacy curriculum for teachers; 2012
193078e, Story-based inquiry: a manual for investigative journalists; 2011
193090eo, International Forum on the Social Science - Policy Nexus; Mapping out the research-policy matrix: a report on the outputs from the first International Forum on the Social Science-Policy Nexus; Research and policy series; 2011
193111e," World Heritage Marine Site Managers Meeting; 1st; Navigating the future of marine world heritage: results from the first World Heritage Marine Site Managers Meeting, Honolulu, Hawaii, 1-3 December 2010; World heritage series: papers; Vol.:28; 2011"
193754f, Sandwatch: s'adapter au changement climatique et eduquer pour le developpement durable; 2010
210895e, Contemporary issues in human rights education; 2011
210932s," Recorridos nacionales rumbo a la educacion para el desarrollo sostenible, 2011: analisis de las experiencias de los paises Chile, Indonesia, Kenya, Oman, Paises Bajos; 2011"
211591e, Water and climate dialogue: adapting to climate change: why we need broader and 'out-of-the-box' approaches; 2011
211645e," Rabindranath Tagore, Pablo Neruda, Aime Cesaire: for a reconciled universal; 2011"
211705e," Social science and policy challenges: democracy, values and capacities; Research and policy series; 2011"
211842e, Transforming education: the power of ICT policies; 2011
212262e, Capacity Development for Education for All: translating theory into practice; the CapEFA Programme; 2011
212642m, Human rights: major international instruments; status as at 30 June 2011; 2011
212716m," Human Evolution: Adaptations, Dispersals and Social Developments (HEADS): world heritage thematic programme; World heritage series: papers; Vol.:29; 2011"
213418e, Adapting to change: the state of conservation of World Heritage forests in 2011; World heritage series: papers; Vol.:30; 2011
213475e, UNESCO ICT Competency Framework for Teachers; 2015
213605e, Guidelines for open educational resources (OER) in higher education; 2015
214089e, Teaching philosophy in Europe and North America; 2011
214927f, Paysages culturels du patrimoine mondial: guide pratique de conservation et de gestion; Serie du patrimoine mondial: cahiers; Vol.:26; 2011
215041e, Empowering the poor through human rights litigation: manual; 2011
215097e, Community media: a good practice handbook; 2013
